Count, Time (ms), RSSI (dBm), Frequency (KHz), Timestamp (ms), EPC, Phase (Degrees)
48,150085,-60,922800,312,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
49,150109,-60,919000,335,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
50,150201,-59,926400,428,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
51,150340,-59,926200,568,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
52,150385,-59,925000,613,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,165
53,150602,-59,927000,831,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
54,150636,-59,925400,865,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
55,150864,-59,925800,93,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
56,151106,-62,927200,336,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,177
57,164874,-62,927200,151,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
58,168555,-59,919000,836,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
59,168577,-58,917400,858,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
60,174493,-60,927000,808,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
61,174545,-60,925400,860,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
62,180864,-62,921600,207,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
63,181825,-60,927000,163,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
64,181851,-59,925400,190,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
65,185419,-56,926800,759,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
66,185453,-56,920800,793,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
